"IVO Marketplace","IVO Marketplace"
"IVO Status","IVO Status"
"The product is hidden or disabled.","The product is hidden or disabled."
"The product is still being created or reviewed.","The product is still being created or reviewed."
"Product is available on IVO.","Product is available on IVO."
"Force Sync with IVO","Force Sync with IVO"
"Syncing...","Syncing..."
"Connection error.","Connection error."
"View Product","View Product"
"The product is visible and purchasable.","The product is visible and purchasable."
"Product not found on marketplace.","Product not found on marketplace."
"Error fetching status.","Error fetching status."
"Not configured.","Not configured."
"Product synced successfully!","Product synced successfully!"
"Could not prepare payload or Merchant Point ID missing","Could not prepare payload or Merchant Point ID missing"
"Sync failed. API Code: %1","Sync failed. API Code: %1"
"Offer Status","Offer Status"
"Note","Note"
"Detail","Detail"
"Reason","Reason"
"No variants were found for this product.","No variants were found for this product."
"The product details are too generic to accurately identify the specific item being sold.","The product details are too generic to accurately identify the specific item being sold."
"Merchant not authorized for product category.","Merchant not authorized for product category."
"Offer was successfully created for the product/variant.","Offer was successfully created for the product/variant."
"An error occurred during offer creation.","An error occurred during offer creation."
"Found existing product, offer creation is pending.","Found existing product, offer creation is pending."
"Active","Active"
"Inactive","Inactive"
"Draft","Draft"
"Unknown","Unknown"
"Error","Error"
"Pending","Pending"
"Not Synced","Not Synced"
"Product has not been synced to IVO yet.","Product has not been synced to IVO yet."
"Product is queued for processing.","Product is queued for processing."
"Product is currently being processed.","Product is currently being processed."
"An error occurred during import.","An error occurred during import."
"The offer was deleted from the marketplace.","The offer was deleted from the marketplace."
"Unknown status","Unknown status"
"Refreshing status...","Refreshing status..."
"Product cannot be synced. Please ensure it has a valid price.","Product cannot be synced. Please ensure it has a valid price."
