"IVO Marketplace","Торговая площадка IVO"
"IVO Status","Статус IVO"
"The product is hidden or disabled.","Товар скрыт или отключен."
"The product is still being created or reviewed.","Товар находится в процессе создания или проверки."
"Product is available on IVO.","Товар доступен на IVO."
"Force Sync with IVO","Принудительная синхронизация с IVO"
"Syncing...","Синхронизация..."
"Connection error.","Ошибка соединения."
"View Product","Посмотреть товар"
"The product is visible and purchasable.","Товар виден и доступен для покупки."
"Product not found on marketplace.","Товар не найден на торговой площадке."
"Error fetching status.","Ошибка получения статуса."
"Not configured.","Не настроено."
"Product synced successfully!","Товар успешно синхронизирован!"
"Could not prepare payload or Merchant Point ID missing","Не удалось подготовить данные или отсутствует ID торговой точки"
"Sync failed. API Code: %1","Синхронизация не удалась. Код API: %1"
"Offer Status","Статус предложения"
"Note","Примечание"
"Detail","Детали"
"Reason","Причина"
"No variants were found for this product.","Варианты для этого продукта не найдены."
"The product details are too generic to accurately identify the specific item being sold.","Детали продукта слишком общие для точной идентификации товара."
"Merchant not authorized for product category.","Продавец не авторизован для этой категории товаров."
"Offer was successfully created for the product/variant.","Предложение успешно создано для продукта/варианта."
"An error occurred during offer creation.","Произошла ошибка при создании предложения."
"Found existing product, offer creation is pending.","Найден существующий продукт, создание предложения в ожидании."
"Active","Активный"
"Inactive","Неактивный"
"Draft","Черновик"
"Unknown","Неизвестный"
"Error","Ошибка"
