"IVO Marketplace","Magazinul IVO"
"IVO Status","Stare IVO"
"The product is hidden or disabled.","Produsul este ascuns sau dezactivat."
"The product is still being created or reviewed.","Produsul este în curs de creare sau revizuire."
"Product is available on IVO.","Produsul este disponibil pe IVO."
"Force Sync with IVO","Sincronizează forțat cu IVO"
"Syncing...","Se sincronizează..."
"Connection error.","Eroare de conexiune."
"View Product","Vezi produsul"
"The product is visible and purchasable.","Produsul este vizibil și poate fi cumpărat."
"Product not found on marketplace.","Produsul nu a fost găsit în marketplace."
"Error fetching status.","Eroare la preluarea stării."
"Not configured.","Nu este configurat."
"Product synced successfully!","Produs sincronizat cu succes!"
"Could not prepare payload or Merchant Point ID missing","Nu s-a putut pregăti încărcarea sau ID-ul punctului comercial lipsește"
"Sync failed. API Code: %1","Sincronizarea a eșuat. Cod API: %1"
"Offer Status","Stare ofertă"
"Note","Notă"
"Detail","Detaliu"
"Reason","Motiv"
"No variants were found for this product.","Nu au fost găsite variante pentru acest produs."
"The product details are too generic to accurately identify the specific item being sold.","Detaliile produsului sunt prea generice pentru a identifica cu exactitate articolul."
"Merchant not authorized for product category.","Comerciantul nu este autorizat pentru categoria produsului."
"Offer was successfully created for the product/variant.","Oferta a fost creată cu succes pentru produs/variantă."
"An error occurred during offer creation.","A apărut o eroare în timpul creării ofertei."
"Found existing product, offer creation is pending.","Produs existent găsit, crearea ofertei este în așteptare."
"Active","Activ"
"Inactive","Inactiv"
"Draft","Schiță"
"Unknown","Necunoscut"
"Error","Eroare"
